,Age,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Key events,Total revenue
1,Unknown,"38,110","36,632","21,465",40.45%,0.56,10s,"332,760","7,998.00","$1,245.56"
2,18-24,"6,907","6,242","5,084",50.95%,0.74,15s,"72,078","1,941.00",$401.94
3,25-34,"5,733","4,885","4,491",55.06%,0.78,18s,"60,872","2,173.00",$282.94
4,35-44,"3,486","2,976","2,723",52.96%,0.78,18s,"37,335","1,450.00","$3,033.79"
5,65+,"2,880","2,508","1,505",24.64%,0.52,3s,"29,507",138,$0.00
6,45-54,"2,335","1,957","1,829",54.22%,0.78,19s,"25,019",899,$105.58
7,55-64,"1,741","1,465","1,170",33.30%,0.6,8s,"18,907",251,$0.00
